rok;okrsek;strana;pocet_hlasu_abs;pocet_hlasu_perc
2014;4004;Komunistická str.Čech a Moravy;605;10.48
2018;1017;Koalice pro Pardubice;348;5.64
2002;28;Sdružení pro Pardubice;1571;13.54
2010;80;Zelená pro Pardubice (SZ, NK);277;1.60
2010;13;Koalice pro Pardubice;683;6.03
2014;1018;Strana zelených;476;4.11
2002;16;Česká str.sociálně demokrat.;1619;22.05
2002;21;Naděje;372;3.29
2014;2011;Svobodní, Strana svobod.občanů;81;1.18
2006;65;Zelená pro Pardubice;1130;12.26
2018;7005;Česká pirátská strana;822;7.20
2014;3006;TOP 09 a nezávislí;536;4.60
2018;2006;Svob.a př.dem.-T.Okamura (SPD);590;5.63
2010;75;Suverenita-blok J.Bobošíkové;244;3.12
2002;38;Křesť.demokr.unie-Čs.str.lid.;370;3.07
2010;6;PARDUBÁCI;1155;10.46
2018;7003;NAŠE PARDUBICE;647;2.72
2018;2004;Občanská demokratická strana;1083;11.89
2006;50;Koruna Česká (monarch.strana);4;0.04
2018;3014;JAUNER Československo 2018;2;0.01
2014;2017;NEZÁVISLÍ;97;0.90
2018;5017;NAŠE PARDUBICE;392;2.82
2002;62;Strana za životní jistoty;28;0.28
2018;2011;Pardubáci společně;544;6.36
2018;5016;Česká pirátská strana;1239;13.06
2018;1016;Komunistická str.Čech a Moravy;364;4.76
2010;61;Česká str.sociálně demokrat.;2345;18.09
2014;5017;NEZÁVISLÍ;31;0.27
2014;5016;ANO 2011;1869;22.15
2006;31;Česká str.sociálně demokrat.;1626;22.17
2014;1006;Komunistická str.Čech a Moravy;714;7.90
2006;37;Sdružení pro Pardubice;1538;16.39
2018;2019;Svob.a př.dem.-T.Okamura (SPD);313;3.99
2018;3006;Komunistická str.Čech a Moravy;722;5.20
2010;69;Věci veřejné (VV);240;1.88
2010;26;Česká str.sociálně demokrat.;2584;26.66
2018;2015;Koalice pro Pardubice;823;7.54
2002;34;Strana za životní jistoty;54;0.66
2002;82;Sdružení pro Pardubice;1145;9.80
2006;27;Zelená pro Pardubice;1531;12.99
2014;4003;ANO 2011;3695;29.00
2010;33;SDRUŽENÍ PRO PARDUBICE;1607;16.52
2014;5002;Občanská demokratická strana;650;8.21
2018;3003;Česká pirátská strana;609;7.95
2002;68;Naděje;135;1.02
2010;1;Zelená pro Pardubice (SZ, NK);636;5.67
2014;1001;Sdružení pro Pard. - SNK ED,NK;634;6.87
2010;29;PARDUBÁCI;1184;9.47
2010;86;Koalice pro Pardubice;1049;4.93
2018;5005;ČSSD a nestran. pro Pardubice;304;3.04
2006;3;Koal.pro Pard.,KDU-ČSL+Nestran;686;6.73
2018;7004;Koalice pro Pardubice;273;3.73
2002;23;Pravý Blok;6;0.08
2002;42;Nezávislí Pardubičtí kandidáti;94;0.97
2010;3;Občanská demokratická strana;1598;16.86
2014;2019;Strana zelených;210;2.76
2006;40;Komunistická str.Čech a Moravy;1443;14.64
2010;63;Koalice pro Pardubice;439;4.30
2018;2013;ANO 2011;2408;21.47
2006;58;Koruna Česká (monarch.strana);8;0.08
2006;20;Zelená pro Pardubice;595;7.39
2010;45;Strana Práv Občanů ZEMANOVCI;81;0.92
2010;79;Suverenita-blok J.Bobošíkové;116;1.69
2010;15;Koalice pro Pardubice;682;5.57
2014;7006;Úsvit přímé demokracie;81;3.25
2014;1002;Úsvit přímé demokracie;87;1.20
2006;53;Komunistická str.Čech a Moravy;1162;9.65
2018;5005;Strana soukromníků ČR;2;0.02
2014;7006;TOP 09 a nezávislí;6;0.24
2018;1014;PRO Zdraví a Sport;24;0.44
2014;4001;Naše Pardubice, FairPlay,NK;606;2.83
2014;3005;PATRIOTI PARDUBIC, PATRIOTI,NK;517;3.77
2014;1016;Naše Pardubice, FairPlay,NK;276;4.13
2002;26;Sdružení pro Pardubice;1180;12.11
2010;71;Komunistická str.Čech a Moravy;1311;10.12
2006;55;Česká str.sociálně demokrat.;3070;23.29
2006;78;Koal.pro Pard.,KDU-ČSL+Nestran;664;6.36
2006;61;Koal.pro Pard.,KDU-ČSL+Nestran;1089;9.40
2002;47;Nezávislí Pardubičtí kandidáti;104;1.00
2006;2;Komunistická str.Čech a Moravy;792;7.97
2010;19;Volte Pr.Blok www.cibulka.net;36;0.32
2006;81;Koruna Česká (monarch.strana);7;0.11
2010;78;PERNŠTEJN -pol.str.ALTERNATIVA;135;1.10
2014;5018;Koal. pro Pard., KDU-ČSL,NESTR;323;5.70
2010;12;Volte Pr.Blok www.cibulka.net;53;0.37
2018;5007;ČSSD a nestran. pro Pardubice;386;4.21
2018;1005;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;6;0.08
2018;1006;Pardubice pro lidi;339;3.35
2018;5017;Občanská demokratická strana;2439;17.54
2014;1001;Komunistická str.Čech a Moravy;458;4.96
2002;81;Sdružení pro Pardubice;2160;13.68
2002;68;Nezávislí Pardubičtí kandidáti;79;0.59
2014;1007;Naše Pardubice, FairPlay,NK;42;0.62
2006;17;Zelená pro Pardubice;787;9.43
2010;30;Věci veřejné (VV);456;3.92
2006;72;Občanská demokratická strana;5201;33.65
2018;2002;JAUNER Československo 2018;0;0.00
2006;2;Sdružení pro Pardubice;1763;17.74
2018;1013;Pardubáci společně;889;8.54
2014;3008;Česká str.sociálně demokrat.;2029;19.35
2002;16;Nezávislí Pardubičtí kandidáti;92;1.25
2014;1018;NEZÁVISLÍ;18;0.16
2018;3007;ANO 2011;3711;28.67
2014;2019;Koal. pro Pard., KDU-ČSL,NESTR;137;1.80
2010;42;Komunistická str.Čech a Moravy;1161;10.94
2014;2004;Svobodní, Strana svobod.občanů;249;2.94
2006;66;Občanská demokratická strana;4440;39.23
2018;3005;Svob.a př.dem.-T.Okamura (SPD);423;2.66
2014;5008;PATRIOTI PARDUBIC, PATRIOTI,NK;587;6.31
2010;34;TOP 09 a nezávislí;525;6.42
2018;5003;Svob.a př.dem.-T.Okamura (SPD);409;6.15
2002;84;Komunistická str.Čech a Moravy;970;21.01
2014;6003;Koal. pro Pard., KDU-ČSL,NESTR;639;4.25
2018;1020;ČSSD a nestran. pro Pardubice;584;6.53
2014;1022;Úsvit přímé demokracie;291;2.61
2014;3001;NEZÁVISLÍ;168;2.48
2018;2009;Pardubice pro lidi;423;4.44
2014;1019;PATRIOTI PARDUBIC, PATRIOTI,NK;410;4.68
2014;2017;Naše Pardubice, FairPlay,NK;266;2.47
2014;1016;Svobodní, Strana svobod.občanů;345;5.16
2006;46;Komunistická str.Čech a Moravy;753;5.53
2018;2011;Česká pirátská strana;634;7.41
2018;2007;Pardubáci společně;697;8.26
2010;37;Suverenita-blok J.Bobošíkové;371;4.19
2014;3006;NEZÁVISLÍ;139;1.19
2010;6;Komunistická str.Čech a Moravy;961;8.70
2010;9;SDRUŽENÍ PRO PARDUBICE;1691;16.63
2018;3006;Pardubáci společně;1545;11.13
2010;81;Věci veřejné (VV);401;2.27
2002;76;Naděje;213;2.41
2006;83;Koal.pro Pard.,KDU-ČSL+Nestran;222;2.65
2014;1011;Strana zelených;477;5.13
2010;2;Občanská demokratická strana;1686;17.62
2010;87;Věci veřejné (VV);389;2.83
2018;3001;Strana soukromníků ČR;44;0.58
2002;46;Komunistická str.Čech a Moravy;990;8.10
2014;5015;Strana zelených;159;1.85
2018;3009;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;16;0.17
2010;1;Koalice pro Pardubice;445;3.97
2002;38;Naděje;326;2.71
2002;1;Občanská demokratická strana;3206;29.39
2018;7002;PRO Zdraví a Sport;70;0.46
2018;5011;Sdružení pro Pardubice;475;3.61
2010;15;PARDUBÁCI;1291;10.54
2018;6005;Pardubice pro lidi;790;17.47
2002;76;Nezávislí Pardubičtí kandidáti;91;1.03
2006;9;Koruna Česká (monarch.strana);2;0.02
2010;71;PERNŠTEJN -pol.str.ALTERNATIVA;85;0.66
2018;3007;Komunistická str.Čech a Moravy;671;5.18
2010;60;TOP 09 a nezávislí;585;8.58
2014;1001;Úsvit přímé demokracie;19;0.21
2018;6005;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;0;0.00
2018;5012;Česká pirátská strana;1344;15.58
2006;35;Česká str.sociálně demokrat.;1416;18.42
2018;3010;NAŠE PARDUBICE;1119;8.15
2010;88;PARDUBÁCI;1609;7.93
2018;1010;Strana soukromníků ČR;16;0.18
2006;90;Česká str.sociálně demokrat.;1185;13.75
2014;2016;Svobodní, Strana svobod.občanů;402;4.20
2010;64;Volte Pr.Blok www.cibulka.net;10;0.13
2006;67;Zelená pro Pardubice;780;6.38
2010;75;Komunistická str.Čech a Moravy;573;7.34
2010;62;Suverenita-blok J.Bobošíkové;65;0.64
2014;3013;Pard. pro lidi a Souk SsČR,PPL;183;1.39
2006;68;Koal.pro Pard.,KDU-ČSL+Nestran;427;3.20
2014;1005;Komunistická str.Čech a Moravy;886;12.63
2010;43;Volte Pr.Blok www.cibulka.net;17;0.13
2014;5009;TOP 09 a nezávislí;778;8.15
2018;1015;Pardubáci společně;1112;10.59
2018;5014;Občanská demokratická strana;829;13.99
2002;60;Unie svobody-Demokratická unie;132;2.16
2010;6;Věci veřejné (VV);255;2.31
2014;5006;DOMOV;71;0.75
2010;33;Strana Práv Občanů ZEMANOVCI;151;1.55
2010;38;Česká str.sociálně demokrat.;3259;27.01
2014;5003;PARDUBÁCI,Sdružení ČSR, NK;268;4.37
2002;51;Pravý Blok;8;0.06
2018;4002;JAUNER Československo 2018;1;0.01
2018;3014;Pardubice pro lidi;581;3.63
2010;83;SDRUŽENÍ PRO PARDUBICE;2122;17.48
2014;1008;ANO 2011;1572;24.69
2018;3013;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.11
2018;4003;Občanská demokratická strana;1813;11.88
2018;1013;Občanská demokratická strana;915;8.79
2002;60;Pravý Blok;13;0.21
2018;8001;ANO 2011;288;8.63
2010;47;Věci veřejné (VV);302;2.14
2014;3004;Úsvit přímé demokracie;57;0.76
2018;4002;PRO Zdraví a Sport;21;0.18
2014;5007;NEZÁVISLÍ;83;0.99
2018;3012;PRO Zdraví a Sport;81;0.56
2014;3007;Koal. pro Pard., KDU-ČSL,NESTR;916;7.84
2002;43;NEZÁVISLÍ;298;2.12
2006;22;Koruna Česká (monarch.strana);7;0.19
2018;4005;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;8;0.05
2014;4003;Občanská demokratická strana;1023;8.03
2010;42;TOP 09 a nezávislí;406;3.83
2014;1010;ZEMANOVCI, Sdružení SPO, NK;25;0.27
2002;66;Pravý Blok;19;0.15
2006;78;Česká str.sociálně demokrat.;630;6.03
2018;4003;Svob.a př.dem.-T.Okamura (SPD);317;2.08
2014;1013;Sdružení pro Pard. - SNK ED,NK;754;8.20
2014;5003;TOP 09 a nezávislí;240;3.92
2018;3010;PRO Zdraví a Sport;152;1.11
2014;5009;Pard. pro lidi a Souk SsČR,PPL;106;1.11
2010;44;Volte Pr.Blok www.cibulka.net;9;0.08
2014;4003;Svobodní, Strana svobod.občanů;491;3.85
2014;1009;ANO 2011;1995;25.12
2014;2006;Strana zelených;183;1.84
2018;6004;Sdružení pro Pardubice;999;7.01
2014;2015;Koal. pro Pard., KDU-ČSL,NESTR;726;7.67
2006;88;Komunistická str.Čech a Moravy;1375;9.10
2006;70;NEZ.DEMOKRATÉ(předs.V.Železný);12;0.10
2010;36;Suverenita-blok J.Bobošíkové;254;2.19
2006;87;Česká str.sociálně demokrat.;1135;10.55
2014;1006;Úsvit přímé demokracie;19;0.21
2006;2;Koruna Česká (monarch.strana);7;0.07
2010;40;Strana Práv Občanů ZEMANOVCI;142;1.30
2002;70;Strana za životní jistoty;17;0.14
2018;1009;Česká pirátská strana;524;6.05
2006;28;Česká str.sociálně demokrat.;2266;20.84
2006;65;Občanská demokratická strana;3573;38.76
2010;58;Občanská demokratická strana;1764;15.46
2018;5012;Pardubáci společně;988;11.45
2010;8;Zelená pro Pardubice (SZ, NK);234;2.71
2010;81;SDRUŽENÍ PRO PARDUBICE;3424;19.39
2018;2001;Sdružení pro Pardubice;930;7.06
2002;74;Česká str.sociálně demokrat.;1580;17.38
2018;4001;Česká pirátská strana;2134;8.88
2010;23;Komunistická str.Čech a Moravy;344;3.76
2018;1009;Svob.a př.dem.-T.Okamura (SPD);537;6.20
2010;43;Občanská demokratická strana;1638;12.32
2006;37;Koruna Česká (monarch.strana);2;0.02
2006;14;Sdružení pro Pardubice;1798;23.11
2006;89;Sdružení pro Pardubice;1851;22.87
2014;6003;TOP 09 a nezávislí;728;4.85
2006;20;Občanská demokratická strana;3055;37.95
2010;82;Občanská demokratická strana;1334;9.94
2010;43;Suverenita-blok J.Bobošíkové;34;0.26
2010;30;Volte Pr.Blok www.cibulka.net;4;0.03
2018;3001;Česká pirátská strana;505;6.70
2002;13;Komunistická str.Čech a Moravy;1852;17.54
2010;50;PERNŠTEJN -pol.str.ALTERNATIVA;189;1.76
2014;7006;Občanská demokratická strana;52;2.09
2018;4004;PRO Zdraví a Sport;16;0.22
2006;42;Občanská demokratická strana;3333;33.69
2006;82;Koal.pro Pard.,KDU-ČSL+Nestran;359;3.23
2014;5004;Strana zelených;149;2.12
2002;44;NEZÁVISLÍ;358;3.19
2010;13;PARDUBÁCI;1060;9.35
2018;4002;Strana soukromníků ČR;2;0.02
2006;61;NEZ.DEMOKRATÉ(předs.V.Železný);17;0.15
2014;5010;PATRIOTI PARDUBIC, PATRIOTI,NK;286;2.88
2018;2011;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;8;0.09
2018;2003;NAŠE PARDUBICE;643;6.83
2018;1004;Komunistická str.Čech a Moravy;1102;12.07
2002;28;Křesť.demokr.unie-Čs.str.lid.;451;3.89
2002;69;Nezávislí Pardubičtí kandidáti;165;1.30
2018;3003;Pardubice pro lidi;229;2.99
2014;3014;NEZÁVISLÍ;73;0.54
2006;12;Komunistická str.Čech a Moravy;1760;12.47
2010;15;PERNŠTEJN -pol.str.ALTERNATIVA;150;1.22
2010;75;Občanská demokratická strana;1357;17.37
2010;39;PARDUBÁCI;2053;9.35
2018;3003;PRO Zdraví a Sport;16;0.21
2006;48;Koal.pro Pard.,KDU-ČSL+Nestran;522;4.10
2010;72;Česká str.sociálně demokrat.;2633;17.17
2014;3005;Svobodní, Strana svobod.občanů;505;3.69
2014;1019;DOMOV;176;2.01
2002;87;NEZÁVISLÍ;535;5.28
2010;70;Suverenita-blok J.Bobošíkové;164;1.41
2002;24;Křesť.demokr.unie-Čs.str.lid.;394;4.50
2002;37;Unie svobody-Demokratická unie;270;2.77
2010;80;Česká str.sociálně demokrat.;2017;11.66
2006;41;Komunistická str.Čech a Moravy;2033;18.31
2014;2002;Sdružení pro Pard. - SNK ED,NK;464;5.75
2014;4004;Naše Pardubice, FairPlay,NK;35;0.61
2018;2017;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.12
2010;86;PERNŠTEJN -pol.str.ALTERNATIVA;316;1.49
2010;36;Volte Pr.Blok www.cibulka.net;12;0.10
2018;5001;JAUNER Československo 2018;0;0.00
2010;8;TOP 09 a nezávislí;738;8.55
2010;68;Strana Práv Občanů ZEMANOVCI;150;1.27
2006;78;Sdružení pro Pardubice;1830;17.52
2014;1018;PATRIOTI PARDUBIC, PATRIOTI,NK;715;6.18
2014;1003;ZEMANOVCI, Sdružení SPO, NK;19;0.23
2006;24;Sdružení pro Pardubice;1389;13.60
2014;1007;Svobodní, Strana svobod.občanů;176;2.61
2018;5018;Česká pirátská strana;618;8.27
2018;3001;PRO Zdraví a Sport;22;0.29
2010;80;Komunistická str.Čech a Moravy;1670;9.66
2002;40;NEZÁVISLÍ;179;1.66
2002;74;Naděje;101;1.11
2010;11;Koalice pro Pardubice;473;3.65
2006;47;Občanská demokratická strana;4925;41.56
2014;1007;Komunistická str.Čech a Moravy;607;8.99
2014;5014;ZEMANOVCI, Sdružení SPO, NK;0;0.00
2002;78;Česká str.sociálně demokrat.;1461;13.25
2006;15;Koal.pro Pard.,KDU-ČSL+Nestran;699;5.38
2006;28;Koal.pro Pard.,KDU-ČSL+Nestran;573;5.27
2010;38;Koalice pro Pardubice;357;2.96
2002;15;Křesť.demokr.unie-Čs.str.lid.;855;6.56
2014;5011;ZEMANOVCI, Sdružení SPO, NK;69;0.62
2006;57;Koal.pro Pard.,KDU-ČSL+Nestran;1214;5.15
2010;26;Strana Práv Občanů ZEMANOVCI;188;1.94
2018;6006;PRO Zdraví a Sport;1;0.04
2002;30;Nezávislí Pardubičtí kandidáti;83;0.61
2018;4002;Svob.a př.dem.-T.Okamura (SPD);176;1.47
2014;1014;Občanská demokratická strana;697;12.28
2014;1005;Pard. pro lidi a Souk SsČR,PPL;138;1.97
2018;4001;Občanská demokratická strana;4647;19.33
2010;72;Koalice pro Pardubice;468;3.05
2010;77;Věci veřejné (VV);371;3.49
2010;48;Suverenita-blok J.Bobošíkové;270;2.16
2006;90;Koal.pro Pard.,KDU-ČSL+Nestran;626;7.26
2010;47;Strana Práv Občanů ZEMANOVCI;250;1.77
2014;2003;Strana zelených;435;4.29
2002;37;Křesť.demokr.unie-Čs.str.lid.;588;6.04
2010;55;Suverenita-blok J.Bobošíkové;284;1.69
2010;28;SDRUŽENÍ PRO PARDUBICE;1783;17.26
2010;24;Volte Pr.Blok www.cibulka.net;31;0.33
2018;4003;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;9;0.06
2018;3012;ČSSD a nestran. pro Pardubice;781;5.40
2002;62;Česká str.sociálně demokrat.;1433;14.25
2006;52;Sdružení pro Pardubice;2918;21.24
2010;49;TOP 09 a nezávislí;812;6.17
2002;32;Pravý Blok;3;0.03
2010;68;Zelená pro Pardubice (SZ, NK);209;1.77
2018;3014;Česká pirátská strana;997;6.23
2014;2001;Svobodní, Strana svobod.občanů;768;7.35
2010;55;Strana Práv Občanů ZEMANOVCI;182;1.08
2002;52;Naděje;344;2.61
2006;56;Koal.pro Pard.,KDU-ČSL+Nestran;269;2.92
2014;1013;Naše Pardubice, FairPlay,NK;588;6.40
2010;2;Česká str.sociálně demokrat.;1179;12.32
2006;9;NEZ.DEMOKRATÉ(předs.V.Železný);16;0.17
2018;1015;Česká pirátská strana;1149;10.94
2018;1017;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;4;0.06
2002;47;NEZÁVISLÍ;601;5.77
2002;65;Komunistická str.Čech a Moravy;1394;15.83
2014;1004;Strana zelených;51;0.61
2002;35;Unie svobody-Demokratická unie;310;3.73
2014;3001;Úsvit přímé demokracie;90;1.33
2014;2002;Úsvit přímé demokracie;66;0.82
2018;3012;Svob.a př.dem.-T.Okamura (SPD);594;4.10
2010;42;Občanská demokratická strana;1806;17.02
2014;6002;ANO 2011;3847;23.84
2014;2008;PARDUBÁCI,Sdružení ČSR, NK;754;9.08
2002;58;Komunistická str.Čech a Moravy;1900;16.34
2006;78;Občanská demokratická strana;5578;53.41
2010;9;Koalice pro Pardubice;304;2.99
2006;75;Občanská demokratická strana;3081;37.51
2014;3003;Strana zelených;327;4.74
2002;5;Česká str.sociálně demokrat.;990;11.48
2018;2008;Pardubice pro lidi;388;4.23
2018;6001;Koalice pro Pardubice;1793;9.54
2002;83;Nezávislí Pardubičtí kandidáti;109;1.20
2002;28;Nezávislí Pardubičtí kandidáti;178;1.53
2010;88;TOP 09 a nezávislí;1071;5.28
2018;8001;ČSSD a nestran. pro Pardubice;240;7.19
2010;73;Věci veřejné (VV);338;3.23
2010;69;Strana Práv Občanů ZEMANOVCI;187;1.46
2010;75;Strana Práv Občanů ZEMANOVCI;48;0.61
2010;11;Suverenita-blok J.Bobošíkové;93;0.72
2006;8;Občanská demokratická strana;4197;44.45
2006;61;Občanská demokratická strana;4121;35.56
2014;3012;Občanská demokratická strana;1992;14.45
2018;1020;ANO 2011;1442;16.13
2006;44;Koruna Česká (monarch.strana);3;0.03
2010;53;Komunistická str.Čech a Moravy;1228;7.41
2014;5014;PARDUBÁCI,Sdružení ČSR, NK;269;4.92
2014;1022;Strana zelených;284;2.55
2018;2005;Koalice pro Pardubice;455;6.47
2002;76;Sdružení pro Pardubice;754;8.52
2010;23;Zelená pro Pardubice (SZ, NK);99;1.08
2014;5016;Česká str.sociálně demokrat.;808;9.57
2018;5013;JAUNER Československo 2018;0;0.00
2014;5004;Naše Pardubice, FairPlay,NK;132;1.88
2002;34;Občanská demokratická strana;2797;34.05
2014;1015;Svobodní, Strana svobod.občanů;173;1.77
2002;80;Sdružení pro Pardubice;1701;17.52
2018;4003;Česká pirátská strana;1452;9.52
2018;4005;Pardubáci společně;1830;10.74
2014;1022;ANO 2011;2229;20.01
2018;5007;Pardubice pro lidi;120;1.31
2014;7005;Naše Pardubice, FairPlay,NK;163;1.85
2006;55;Sdružení pro Pardubice;2305;17.49
2010;74;Suverenita-blok J.Bobošíkové;78;1.05
2014;2010;Komunistická str.Čech a Moravy;293;3.54
2002;37;NEZÁVISLÍ;350;3.59
2002;56;Křesť.demokr.unie-Čs.str.lid.;220;2.80
2002;58;Pravý Blok;9;0.08
2006;26;Koruna Česká (monarch.strana);0;0.00
2018;1009;Občanská demokratická strana;938;10.83
2014;1001;PATRIOTI PARDUBIC, PATRIOTI,NK;704;7.63
2010;51;Suverenita-blok J.Bobošíkové;277;1.90
2002;40;Pravý Blok;6;0.06
2002;31;Křesť.demokr.unie-Čs.str.lid.;270;3.17
2010;78;TOP 09 a nezávislí;1220;9.93
2006;60;Zelená pro Pardubice;229;3.53
2006;88;Sdružení pro Pardubice;3586;23.75
2014;5004;PARDUBÁCI,Sdružení ČSR, NK;215;3.06
2002;66;Nezávislí Pardubičtí kandidáti;133;1.06
2010;81;Koalice pro Pardubice;418;2.37
2002;71;NEZÁVISLÍ;388;3.12
2014;3007;Česká str.sociálně demokrat.;790;6.76
2018;2015;ČSSD a nestran. pro Pardubice;1089;9.98
2010;65;PARDUBÁCI;896;9.96
2010;4;Občanská demokratická strana;1477;13.91
2002;82;Občanská demokratická strana;3922;33.56
2018;1018;Strana soukromníků ČR;21;0.19
2018;7005;Pardubáci společně;835;7.31
2002;63;Česká str.sociálně demokrat.;1682;18.72
2018;1003;Pardubice pro lidi;299;3.00
2002;74;Křesť.demokr.unie-Čs.str.lid.;312;3.43
2014;5017;DOMOV;47;0.41
2014;1002;DOMOV;57;0.78
2018;1004;Pardubáci společně;760;8.32
2010;22;Česká str.sociálně demokrat.;2764;22.23
2006;17;Komunistická str.Čech a Moravy;1158;13.87
2002;8;Pravý Blok;19;0.59
2014;3008;PARDUBÁCI,Sdružení ČSR, NK;792;7.55
2006;6;Koal.pro Pard.,KDU-ČSL+Nestran;545;4.65
2002;27;Unie svobody-Demokratická unie;349;3.64
2010;89;Suverenita-blok J.Bobošíkové;80;1.05
2018;6002;PRO Zdraví a Sport;65;0.36
2010;39;PERNŠTEJN -pol.str.ALTERNATIVA;227;1.03
2010;32;Občanská demokratická strana;1349;14.25
2002;46;Strana za životní jistoty;29;0.24
2014;3009;Česká str.sociálně demokrat.;1286;15.36
2006;17;Koal.pro Pard.,KDU-ČSL+Nestran;488;5.84
2014;3006;Koal. pro Pard., KDU-ČSL,NESTR;460;3.95
2018;2012;Sdružení pro Pardubice;620;6.73
2018;2007;Strana soukromníků ČR;7;0.08
2018;2001;PRO Zdraví a Sport;26;0.20
2002;27;Nezávislí Pardubičtí kandidáti;192;2.00
2018;1016;PRO Zdraví a Sport;17;0.22
2014;5009;NEZÁVISLÍ;27;0.28
2018;2016;Sdružení pro Pardubice;317;3.26
2018;5001;Koalice pro Pardubice;1168;10.14
2002;60;NEZÁVISLÍ;173;2.83
2014;1004;PATRIOTI PARDUBIC, PATRIOTI,NK;313;3.74
2018;3002;Pardubáci společně;1349;14.92
2014;2007;Sdružení pro Pard. - SNK ED,NK;680;8.81
2014;1021;ANO 2011;1656;15.59
2014;5015;Koal. pro Pard., KDU-ČSL,NESTR;403;4.69
2018;1011;ČSSD a nestran. pro Pardubice;650;5.78
2010;37;Volte Pr.Blok www.cibulka.net;22;0.25
2002;64;Pravý Blok;26;0.32
2006;18;NEZ.DEMOKRATÉ(předs.V.Železný);39;0.26
2014;2018;PARDUBÁCI,Sdružení ČSR, NK;772;8.36
2006;80;Koruna Česká (monarch.strana);3;0.03
2014;1014;Úsvit přímé demokracie;3;0.05
2010;7;Věci veřejné (VV);257;2.66
2018;2005;Svob.a př.dem.-T.Okamura (SPD);177;2.52
2014;1016;ZEMANOVCI, Sdružení SPO, NK;65;0.97
2014;3001;Česká str.sociálně demokrat.;1331;19.64
2014;1019;Sdružení pro Pard. - SNK ED,NK;591;6.74
2002;18;Křesť.demokr.unie-Čs.str.lid.;982;6.90
2006;39;Česká str.sociálně demokrat.;2758;13.22
2014;4003;ZEMANOVCI, Sdružení SPO, NK;51;0.40
2018;5003;JAUNER Československo 2018;1;0.02
2002;41;Naděje;347;2.82
2006;16;Sdružení pro Pardubice;1575;21.53
2002;72;Unie svobody-Demokratická unie;813;4.83
2014;2006;TOP 09 a nezávislí;594;5.97
2018;5014;Pardubice pro lidi;19;0.32
2014;5010;DOMOV;56;0.56
2014;2014;Česká str.sociálně demokrat.;1574;21.14
2018;5010;ČSSD a nestran. pro Pardubice;438;4.47
2014;3014;Česká str.sociálně demokrat.;1530;11.35
2014;5014;TOP 09 a nezávislí;240;4.39
2006;61;Zelená pro Pardubice;875;7.55
2018;3006;ČSSD a nestran. pro Pardubice;741;5.34
2002;74;Unie svobody-Demokratická unie;315;3.47
2014;7001;TOP 09 a nezávislí;1087;6.81
2010;40;Občanská demokratická strana;1938;17.68
2014;2018;ZEMANOVCI, Sdružení SPO, NK;15;0.16
2018;5018;Občanská demokratická strana;1059;14.17
2018;1014;Pardubice pro lidi;89;1.63
2014;1017;PATRIOTI PARDUBIC, PATRIOTI,NK;274;4.59
2002;4;Sdružení pro Pardubice;1580;15.06
2010;21;PARDUBÁCI;1846;14.73
2014;5012;Koal. pro Pard., KDU-ČSL,NESTR;449;5.92
2018;5017;Sdružení pro Pardubice;651;4.68
2014;3006;Naše Pardubice, FairPlay,NK;405;3.48
2014;2015;PATRIOTI PARDUBIC, PATRIOTI,NK;413;4.36
2006;43;Zelená pro Pardubice;892;7.15
2006;13;Koruna Česká (monarch.strana);3;0.03
2010;45;PERNŠTEJN -pol.str.ALTERNATIVA;229;2.59
2014;5016;Koal. pro Pard., KDU-ČSL,NESTR;449;5.32
2014;1015;Koal. pro Pard., KDU-ČSL,NESTR;500;5.13
2002;53;Pravý Blok;25;0.24
2014;5005;PARDUBÁCI,Sdružení ČSR, NK;867;8.93
2018;3001;Pardubice pro lidi;240;3.18
2014;5015;Naše Pardubice, FairPlay,NK;338;3.94
2018;2001;Pardubice pro lidi;436;3.31
2014;1013;Koal. pro Pard., KDU-ČSL,NESTR;315;3.43
2018;2019;Komunistická str.Čech a Moravy;175;2.23
2010;50;SDRUŽENÍ PRO PARDUBICE;1757;16.34
2002;8;Křesť.demokr.unie-Čs.str.lid.;263;8.21
2014;7001;Občanská demokratická strana;1217;7.62
2014;2008;PATRIOTI PARDUBIC, PATRIOTI,NK;453;5.46
2014;3001;ZEMANOVCI, Sdružení SPO, NK;8;0.12
2006;76;Komunistická str.Čech a Moravy;2193;22.64
2010;41;Česká str.sociálně demokrat.;3291;30.31
2010;41;PARDUBÁCI;718;6.61
2018;5018;Pardubice pro lidi;362;4.84
2006;8;Česká str.sociálně demokrat.;1220;12.92
2018;5010;Pardubáci společně;828;8.45
2014;2003;Komunistická str.Čech a Moravy;1249;12.32
2010;11;Česká str.sociálně demokrat.;3437;26.53
2002;21;Pravý Blok;10;0.09
2010;26;Občanská demokratická strana;1622;16.73
2002;3;Křesť.demokr.unie-Čs.str.lid.;891;8.36
